marlon@sandbox:~$ sudo apt-get install apt-show-versions
Reading package lists... Done
Building dependency tree       
libck-connector0:amd64/trusty 0.4.5-3.1ubuntu2 uptodate
libclass-accessor-perl:all/trusty 0.34-1 uptodate
libcloog-isl4:amd64/trusty 0.18.2-1 uptodate
libcolord1:amd64/trusty 1.0.6-1 uptodate
libcolorhug1:amd64/trusty 1.0.6-1 uptodate
libcomerr2:amd64/trusty-security 1.42.9-3ubuntu1.2 uptodate
libcroco3:amd64/trusty 0.6.8-2ubuntu1 uptodate
libcups2:amd64/trusty-security 1.7.2-0ubuntu1.5 uptodate
libcurl3:amd64/trusty-security 7.35.0-1ubuntu2.3 uptodate
libcwidget3:amd64/trusty 0.5.16-3.5ubuntu1 uptodate
libdatrie1:amd64/trusty 0.2.8-1 uptodate
libdb5.3:amd64/trusty 5.3.28-3ubuntu3 uptodate
libdbd-mysql-perl:amd64/trusty 4.025-1 uptodate
libdbi-perl:amd64/trusty 1.630-1 uptodate
libdbus-1-3:amd64/trusty-security 1.6.18-0ubuntu4.3 uptodate
libdbus-glib-1-2:amd64/trusty 0.100.2-1 uptodate
libdconf1:amd64/trusty 0.20.0-1 uptodate
libdebconfclient0:amd64/trusty 0.187ubuntu1 uptodate
libdevmapper1.02.1:amd64/trusty 2:1.02.77-6ubuntu2 uptodate
libdpkg-perl:all/trusty-security 1.17.5ubuntu5.4 uptodate
libdrm2:amd64/trusty-security 2.4.56-1~ubuntu2 uptodate
libedit2:amd64/trusty 3.1-20130712-2 uptodate
libept1.4.12:amd64/trusty 1.0.12 uptodate
libestr0:amd64/trusty 0.1.9-0ubuntu2 uptodate
libexif12:amd64/trusty 0.6.21-1ubuntu1 uptodate
libexpat1:amd64/trusty 2.1.0-4ubuntu1 uptodate
libfakeroot:amd64/trusty 1.20-3ubuntu2 uptodate
libffi6:amd64/trusty 3.1~rc1+r3.0.13-12 uptodate
libfile-fcntllock-perl:amd64/trusty 0.14-2build1 uptodate
libfontconfig1:amd64/trusty-updates 2.11.0-0ubuntu4.1 uptodate
libfreetype6:amd64/trusty-security 2.5.2-1ubuntu2.4 uptodate
libfribidi0:amd64/trusty 0.19.6-1 uptodate
libfuse2:amd64/trusty 2.9.2-4ubuntu4 uptodate
libgcc-4.8-dev:amd64/trusty 4.8.2-19ubuntu1 uptodate
libgcc1:amd64/trusty-updates 1:4.9.1-0ubuntu1 uptodate
libgck-1-0:amd64/trusty 3.10.1-1 uptodate
libgconf-2-4:amd64/trusty 3.2.6-0ubuntu2 uptodate
libgcr-3-common:all/trusty 3.10.1-1 uptodate
libgcr-base-3-1:amd64/trusty 3.10.1-1 uptodate
libgcr-ui-3-1:amd64/trusty 3.10.1-1 uptodate
libgcrypt11:amd64/trusty-security 1.5.3-2ubuntu4.2 uptodate
libgd3:amd64/trusty 2.1.0-3 uptodate
libgdbm3:amd64/trusty 1.8.3-12build1 uptodate
libgdk-pixbuf2.0-0:amd64/trusty 2.30.7-0ubuntu1 uptodate
libgdk-pixbuf2.0-common:all/trusty 2.30.7-0ubuntu1 uptodate
libgirepository-1.0-1:amd64/trusty-updates 1.40.0-1ubuntu0.2 uptodate
libgksu2-0:amd64/trusty 2.0.13~pre1-6ubuntu4 uptodate
libglib-perl:amd64/trusty 3:1.304-1 uptodate
libglib2.0-0:amd64/trusty-updates 2.40.2-0ubuntu1 uptodate
libglib2.0-data:all/trusty-updates 2.40.2-0ubuntu1 uptodate
libgmp10:amd64/trusty 2:5.1.3+dfsg-1ubuntu1 uptodate
libgnome-keyring-common:all/trusty 3.8.0-2 uptodate
libgnome-keyring0:amd64/trusty 3.8.0-2 uptodate
libgnutls-openssl27:amd64/trusty-security 2.12.23-12ubuntu2.2 uptodate
libgnutls26:amd64/trusty-security 2.12.23-12ubuntu2.2 uptodate
libgomp1:amd64/trusty 4.8.2-19ubuntu1 uptodate
libgpg-error0:amd64/trusty 1.12-0.2ubuntu1 uptodate
libgphoto2-6:amd64/trusty-updates 2.5.3.1-1ubuntu2.2 uptodate
libgphoto2-l10n:all/trusty-updates 2.5.3.1-1ubuntu2.2 uptodate
libgphoto2-port10:amd64/trusty-updates 2.5.3.1-1ubuntu2.2 uptodate
libgraphite2-3:amd64/trusty 1.2.4-1ubuntu1 uptodate
libgssapi-krb5-2:amd64/trusty-security 1.12+dfsg-2ubuntu5.1 uptodate
libgssapi3-heimdal:amd64/trusty-updates 1.6~git20131207+dfsg-1ubuntu1.1 uptodate
libgtk-3-0:amd64/trusty-security 3.10.8-0ubuntu1.4 uptodate
libgtk-3-bin:amd64/trusty-security 3.10.8-0ubuntu1.4 uptodate
libgtk-3-common:all/trusty-security 3.10.8-0ubuntu1.4 uptodate
libgtk2-perl:amd64/trusty 2:1.249-2 uptodate
libgtk2.0-0:amd64/trusty-updates 2.24.23-0ubuntu1.2 uptodate
libgtk2.0-bin:amd64/trusty-updates 2.24.23-0ubuntu1.2 uptodate
libgtk2.0-common:all/trusty-updates 2.24.23-0ubuntu1.2 uptodate
libgtop2-7:amd64/trusty 2.28.5-2 uptodate
libgtop2-common:all/trusty 2.28.5-2 uptodate
libgudev-1.0-0:amd64/trusty-updates 1:204-5ubuntu20.11 uptodate
libgusb2:amd64/trusty 0.1.6-5 uptodate
libharfbuzz0b:amd64/trusty-updates 0.9.27-1ubuntu1 uptodate
libhcrypto4-heimdal:amd64/trusty-updates 1.6~git20131207+dfsg-1ubuntu1.1 uptodate
libheimbase1-heimdal:amd64/trusty-updates 1.6~git20131207+dfsg-1ubuntu1.1 uptodate
libheimntlm0-heimdal:amd64/trusty-updates 1.6~git20131207+dfsg-1ubuntu1.1 uptodate
libhtml-template-perl:all/trusty 2.95-1 uptodate
libhx509-5-heimdal:amd64/trusty-updates 1.6~git20131207+dfsg-1ubuntu1.1 uptodate
libicu52:amd64/trusty-security 52.1-3ubuntu0.2 uptodate
libidn11:amd64/trusty 1.28-1ubuntu2 uptodate
libieee1284-3:amd64/trusty 0.2.11-12 uptodate
libio-string-perl:all/trusty 1.08-3 uptodate
libisl10:amd64/trusty 0.12.2-1 uptodate
libitm1:amd64/trusty 4.8.2-19ubuntu1 uptodate
libjasper1:amd64/trusty-security 1.900.1-14ubuntu3.2 uptodate
libjbig0:amd64/trusty-security 2.0-2ubuntu4.1 uptodate
libjpeg-turbo8:amd64/trusty 1.3.0-0ubuntu2 uptodate
libjpeg8:amd64/trusty 8c-2ubuntu8 uptodate
libjs-codemirror:all/trusty 2.23-1 uptodate
libjs-jquery:all/trusty 1.7.2+dfsg-2ubuntu1 uptodate
libjs-jquery-cookie:all/trusty 8-2 uptodate
libjs-jquery-event-drag:all/trusty 8-2 uptodate
libjs-jquery-metadata:all/trusty 8-2 uptodate
libjs-jquery-mousewheel:all/trusty 8-2 uptodate
libjs-jquery-tablesorter:all/trusty 8-2 uptodate
libjs-jquery-ui:all/trusty 1.10.1+dfsg-1 uptodate
libjs-underscore:all/trusty 1.4.4-2ubuntu1 uptodate
libjson-c2:amd64/trusty-security 0.11-3ubuntu1.2 uptodate
libjson0:amd64/trusty-security 0.11-3ubuntu1.2 uptodate
libk5crypto3:amd64/trusty-security 1.12+dfsg-2ubuntu5.1 uptodate
libkeyutils1:amd64/trusty 1.5.6-1 uptodate
libklibc:amd64/trusty 2.0.3-0ubuntu1 uptodate
libkmod2:amd64/trusty 15-0ubuntu6 uptodate
libkrb5-26-heimdal:amd64/trusty-updates 1.6~git20131207+dfsg-1ubuntu1.1 uptodate
libkrb5-3:amd64/trusty-security 1.12+dfsg-2ubuntu5.1 uptodate
libkrb5support0:amd64/trusty-security 1.12+dfsg-2ubuntu5.1 uptodate
liblcms2-2:amd64/trusty 2.5-0ubuntu4 uptodate
libldap-2.4-2:amd64/trusty 2.4.31-1+nmu2ubuntu8 uptodate
liblocale-gettext-perl:amd64/trusty 1.05-7build3 uptodate
liblockfile-bin:amd64/trusty 1.09-6ubuntu1 uptodate
liblockfile1:amd64/trusty 1.09-6ubuntu1 uptodate
liblog-message-simple-perl:all/trusty 0.10-1 uptodate
libltdl7:amd64/trusty 2.4.2-1.7ubuntu1 uptodate
liblzma5:amd64/trusty 5.1.1alpha+20120614-2ubuntu2 uptodate
libmagic1:amd64/trusty-security 1:5.14-2ubuntu3.3 uptodate
libmcrypt4:amd64/trusty 2.5.8-3.1ubuntu1 uptodate
libmodule-pluggable-perl:all/trusty 5.1-1 uptodate
libmount1:amd64/trusty-updates 2.20.1-5.1ubuntu20.4 uptodate
libmpc3:amd64/trusty 1.0.1-1ubuntu1 uptodate
libmpdec2:amd64/trusty 2.4.0-6 uptodate
libmpfr4:amd64/trusty 3.1.2-1 uptodate
libmysqlclient18:amd64/trusty-security 5.5.43-0ubuntu0.14.04.1 uptodate
libncurses5:amd64/trusty 5.9+20140118-1ubuntu1 uptodate
libncursesw5:amd64/trusty 5.9+20140118-1ubuntu1 uptodate
libnewt0.52:amd64/trusty 0.52.15-2ubuntu5 uptodate
libnih-dbus1:amd64/trusty 1.0.3-4ubuntu25 uptodate
libnih1:amd64/trusty 1.0.3-4ubuntu25 uptodate
libp11-kit-gnome-keyring:amd64/trusty-updates 3.10.1-1ubuntu4.2 uptodate
libp11-kit0:amd64/trusty 0.20.2-2ubuntu2 uptodate
libpam-cap:amd64/trusty 1:2.24-0ubuntu2 uptodate
libpam-gnome-keyring:amd64/trusty-updates 3.10.1-1ubuntu4.2 uptodate
libpam-modules:amd64/trusty 1.1.8-1ubuntu2 uptodate
libpam-modules-bin:amd64/trusty 1.1.8-1ubuntu2 uptodate
libpam-runtime:all/trusty 1.1.8-1ubuntu2 uptodate
libpam-systemd:amd64/trusty-updates 204-5ubuntu20.11 uptodate
libpam0g:amd64/trusty 1.1.8-1ubuntu2 uptodate
libpango-1.0-0:amd64/trusty-updates 1.36.3-1ubuntu1.1 uptodate
libpango-perl:amd64/trusty 1.224-2 uptodate
libpangocairo-1.0-0:amd64/trusty-updates 1.36.3-1ubuntu1.1 uptodate
libpangoft2-1.0-0:amd64/trusty-updates 1.36.3-1ubuntu1.1 uptodate
libpangoxft-1.0-0:amd64/trusty-updates 1.36.3-1ubuntu1.1 uptodate
libparse-debianchangelog-perl:all/trusty 1.2.0-1ubuntu1 uptodate
libpci3:amd64/trusty 1:3.2.1-1ubuntu5 uptodate
libpcre3:amd64/trusty 1:8.31-2ubuntu2 uptodate
libpipeline1:amd64/trusty 1.3.0-1 uptodate
libpixman-1-0:amd64/trusty 0.30.2-2ubuntu1 uptodate
libplymouth2:amd64/trusty-updates 0.8.8-0ubuntu17.1 uptodate
libpng12-0:amd64/trusty 1.2.50-1ubuntu2 uptodate
libpod-latex-perl:all/trusty 0.61-1 uptodate
libpolkit-agent-1-0:amd64/trusty-updates 0.105-4ubuntu2.14.04.1 uptodate
libpolkit-backend-1-0:amd64/trusty-updates 0.105-4ubuntu2.14.04.1 uptodate
libpolkit-gobject-1-0:amd64/trusty-updates 0.105-4ubuntu2.14.04.1 uptodate
libpopt0:amd64/trusty 1.16-8ubuntu1 uptodate
libprocps3:amd64/trusty-updates 1:3.3.9-1ubuntu2.2 uptodate
libpython-stdlib:amd64/trusty 2.7.5-5ubuntu3 uptodate
libpython2.7-minimal:amd64/trusty 2.7.6-8 uptodate
libpython2.7-stdlib:amd64/trusty 2.7.6-8 uptodate
libpython3-stdlib:amd64/trusty 3.4.0-0ubuntu2 uptodate
libpython3.4-minimal:amd64/trusty 3.4.0-2ubuntu1 uptodate
libpython3.4-stdlib:amd64/trusty 3.4.0-2ubuntu1 uptodate
libquadmath0:amd64/trusty 4.8.2-19ubuntu1 uptodate
libreadline6:amd64/trusty 6.3-4ubuntu2 uptodate
libroken18-heimdal:amd64/trusty-updates 1.6~git20131207+dfsg-1ubuntu1.1 uptodate
librsvg2-2:amd64/trusty 2.40.2-1 uptodate
librsvg2-common:amd64/trusty 2.40.2-1 uptodate
librtmp0:amd64/trusty 2.4+20121230.gitdf6c518-1 uptodate
libsane:amd64/trusty-updates 1.0.23-3ubuntu3.1 uptodate
libsane-common:amd64/trusty-updates 1.0.23-3ubuntu3.1 uptodate
libsasl2-2:amd64/trusty 2.1.25.dfsg1-17build1 uptodate
libsasl2-modules:amd64/trusty 2.1.25.dfsg1-17build1 uptodate
libsasl2-modules-db:amd64/trusty 2.1.25.dfsg1-17build1 uptodate
libselinux1:amd64/trusty-updates 2.2.2-1ubuntu0.1 uptodate
libsemanage-common:all/trusty 2.2-1 uptodate
libsemanage1:amd64/trusty 2.2-1 uptodate
libsepol1:amd64/trusty-updates 2.2-1ubuntu0.1 uptodate
libsigc++-2.0-0c2a:amd64/trusty 2.2.10-0.2ubuntu2 uptodate
libslang2:amd64/trusty 2.2.4-15ubuntu1 uptodate
libsqlite3-0:amd64/trusty 3.8.2-1ubuntu2 uptodate
libss2:amd64/trusty-security 1.42.9-3ubuntu1.2 uptodate
libssl1.0.0:amd64/trusty-security 1.0.1f-1ubuntu2.11 uptodate
libstartup-notification0:amd64/trusty 0.12-3ubuntu1 uptodate
libstdc++-4.8-dev:amd64/trusty 4.8.2-19ubuntu1 uptodate
libstdc++6:amd64/trusty 4.8.2-19ubuntu1 uptodate
libsub-name-perl:amd64/trusty 0.05-1build4 uptodate
libsystemd-daemon0:amd64/trusty-updates 204-5ubuntu20.11 uptodate
libsystemd-login0:amd64/trusty-updates 204-5ubuntu20.11 uptodate
libtasn1-6:amd64/trusty-security 3.4-3ubuntu0.2 uptodate
libterm-readkey-perl:amd64/trusty 2.31-1 uptodate
libterm-ui-perl:all/trusty 0.42-1 uptodate
libtext-charwidth-perl:amd64/trusty 0.04-7build3 uptodate
libtext-iconv-perl:amd64/trusty 1.7-5build2 uptodate
libtext-soundex-perl:amd64/trusty 3.4-1build1 uptodate
libtext-wrapi18n-perl:all/trusty 0.06-7 uptodate
libthai-data:all/trusty 0.1.20-3 uptodate
libthai0:amd64/trusty 0.1.20-3 uptodate
libtiff5:amd64/trusty-security 4.0.3-7ubuntu0.3 uptodate
libtimedate-perl:all/trusty 2.3000-1 uptodate
libtinfo5:amd64/trusty 5.9+20140118-1ubuntu1 uptodate
libtsan0:amd64/trusty 4.8.2-19ubuntu1 uptodate
libudev1:amd64/trusty-updates 204-5ubuntu20.11 uptodate
libusb-0.1-4:amd64/trusty 2:0.1.12-23.3ubuntu1 uptodate
libusb-1.0-0:amd64/trusty 2:1.0.17-1ubuntu2 uptodate
libustr-1.0-1:amd64/trusty 1.0.4-3ubuntu2 uptodate
libuuid1:amd64/trusty-updates 2.20.1-5.1ubuntu20.4 uptodate
libv4l-0:amd64/trusty 1.0.1-1 uptodate
libv4lconvert0:amd64/trusty 1.0.1-1 uptodate
libvpx1:amd64/trusty 1.3.0-2 uptodate
libvte-2.90-9:amd64/trusty 1:0.34.9-1ubuntu1 uptodate
libvte-2.90-common:all/trusty 1:0.34.9-1ubuntu1 uptodate
libwayland-client0:amd64/trusty 1.4.0-1ubuntu1 uptodate
libwayland-cursor0:amd64/trusty 1.4.0-1ubuntu1 uptodate
libwind0-heimdal:amd64/trusty-updates 1.6~git20131207+dfsg-1ubuntu1.1 uptodate
libwrap0:amd64/trusty 7.6.q-25 uptodate
libx11-6:amd64/trusty 2:1.6.2-1ubuntu2 uptodate
libx11-data:all/trusty 2:1.6.2-1ubuntu2 uptodate
libx11-xcb1:amd64/trusty 2:1.6.2-1ubuntu2 uptodate
libxapian22:amd64/trusty 1.2.16-2ubuntu1 uptodate
libxau6:amd64/trusty 1:1.0.8-1 uptodate
libxcb-render0:amd64/trusty 1.10-2ubuntu1 uptodate
libxcb-shm0:amd64/trusty 1.10-2ubuntu1 uptodate
libxcb-util0:amd64/trusty 0.3.8-2ubuntu1 uptodate
libxcb1:amd64/trusty 1.10-2ubuntu1 uptodate
libxcomposite1:amd64/trusty 1:0.4.4-1 uptodate
libxcursor1:amd64/trusty 1:1.1.14-1 uptodate
libxdamage1:amd64/trusty 1:1.1.4-1ubuntu1 uptodate
libxdmcp6:amd64/trusty 1:1.1.1-1 uptodate
libxext6:amd64/trusty-security 2:1.3.2-1ubuntu0.0.14.04.1 uptodate
libxfixes3:amd64/trusty-security 1:5.0.1-1ubuntu1.1 uptodate
libxft2:amd64/trusty 2.3.1-2 uptodate
libxi6:amd64/trusty-security 2:1.7.1.901-1ubuntu1.1 uptodate
libxinerama1:amd64/trusty 2:1.1.3-1 uptodate
